Columna,Tipo,No_Nulos,Nulos,Porcentaje_Nulos,Valores_Unicos
order_id,object,99441,0,0.0,99441
customer_id,object,99441,0,0.0,99441
order_status,object,99441,0,0.0,8
order_purchase_timestamp,datetime64[ns],99441,0,0.0,98875
order_approved_at,datetime64[ns],99281,160,0.16,90733
order_delivered_carrier_date,datetime64[ns],97658,1783,1.79,81018
order_delivered_customer_date,datetime64[ns],96476,2965,2.98,95664
order_estimated_delivery_date,datetime64[ns],99441,0,0.0,459
delivery_time_days,float64,96476,2965,2.98,146
delivery_delay_days,float64,96476,2965,2.98,198
purchase_year,int32,99441,0,0.0,3
purchase_month,int32,99441,0,0.0,12
purchase_day_of_week,int32,99441,0,0.0,7
total_items,float64,98666,775,0.78,17
total_price,float64,98666,775,0.78,7761
total_freight,float64,98666,775,0.78,7970
total_payment,float64,99440,1,0.0,27979
